城市,起始時間,結束時間,最高溫度,對低溫度,感覺
臺北市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,26,舒適至悶熱
新北市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,26,舒適至悶熱
桃園市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,35,26,舒適至悶熱
臺中市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,27,舒適至悶熱
臺南市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,32,28,舒適至悶熱
高雄市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,28,舒適至悶熱
基隆市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,30,26,舒適至悶熱
新竹縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,26,舒適至悶熱
新竹市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,26,舒適至悶熱
苗栗縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,25,舒適至悶熱
彰化縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,26,舒適至悶熱
南投縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,25,舒適至悶熱
雲林縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,25,舒適至悶熱
嘉義縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,26,舒適至悶熱
嘉義市,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,25,舒適至悶熱
屏東縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,34,25,舒適至悶熱
宜蘭縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,32,24,舒適至悶熱
花蓮縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,31,25,舒適至悶熱
臺東縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,32,26,舒適至悶熱
澎湖縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,32,26,舒適至悶熱
金門縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,33,27,舒適至悶熱
連江縣,2023-09-25T06:00:00+08:00,2023-09-25T18:00:00+08:00,31,27,悶熱
